SUPPORTED TOOLS
===============

@angular/cli
------------
  15.0.2       - PRO: ✔️, COMMUNITY: ✔️
  15.0.1       - PRO: ✔️, COMMUNITY: ✔️
  15.0.0       - PRO: ✔️, COMMUNITY: ✔️
  14.2.13      - PRO: ✔️, COMMUNITY: ✔️
  14.2.12      - PRO: ✔️, COMMUNITY: ✔️
  14.2.11      - PRO: ✔️, COMMUNITY: ✔️
  14.2.10      - PRO: ✔️, COMMUNITY: ✔️
  14.2.9       - PRO: ✔️, COMMUNITY: ✔️
  14.2.8       - PRO: ✔️, COMMUNITY: ✔️
  14.2.7       - PRO: ✔️, COMMUNITY: ✔️
  14.2.6       - PRO: ✔️, COMMUNITY: ✔️
  14.2.5       - PRO: ✔️, COMMUNITY: ✔️
  14.2.4       - PRO: ✔️, COMMUNITY: ✔️
  14.2.3       - PRO: ✔️, COMMUNITY: ✔️
  14.2.2       - PRO: ✔️, COMMUNITY: ✔️
  14.2.1       - PRO: ✔️, COMMUNITY: ✔️
  14.2.0       - PRO: ✔️, COMMUNITY: ✔️
  14.1.3       - PRO: ✔️, COMMUNITY: ✔️
  14.1.2       - PRO: ✔️, COMMUNITY: ✔️
  14.1.1       - PRO: ✔️, COMMUNITY: ✔️
  14.1.0       - PRO: ✔️, COMMUNITY: ✔️
  14.0.7       - PRO: ✔️, COMMUNITY: ✔️
  14.0.6       - PRO: ✔️, COMMUNITY: ✔️
  14.0.5       - PRO: ✔️, COMMUNITY: ✔️
  14.0.4       - PRO: ✔️, COMMUNITY: ✔️
  14.0.3       - PRO: ✔️, COMMUNITY: ✔️
  14.0.2       - PRO: ✔️, COMMUNITY: ✔️
  14.0.1       - PRO: ✔️, COMMUNITY: ✔️
  14.0.0       - PRO: ✔️, COMMUNITY: ✔️
  13.3.11      - PRO: ✔️, COMMUNITY: ✔️
  13.3.10      - PRO: ✔️, COMMUNITY: ✔️
  13.3.9       - PRO: ✔️, COMMUNITY: ✔️
  13.3.8       - PRO: ✔️, COMMUNITY: ✔️
  13.3.7       - PRO: ✔️, COMMUNITY: ✔️
  13.3.6       - PRO: ✔️, COMMUNITY: ✔️
  13.3.5       - PRO: ✔️, COMMUNITY: ✔️
  13.3.4       - PRO: ✔️, COMMUNITY: ✔️
  13.3.3       - PRO: ✔️, COMMUNITY: ✔️
  13.3.2       - PRO: ✔️, COMMUNITY: ✔️
  13.3.1       - PRO: ✔️, COMMUNITY: ✔️
  13.3.0       - PRO: ✔️, COMMUNITY: ✔️
  13.2.6       - PRO: ✔️, COMMUNITY: ✔️
  13.2.5       - PRO: ✔️, COMMUNITY: ✔️
  13.2.4       - PRO: ✔️, COMMUNITY: ✔️
  13.2.3       - PRO: ✔️, COMMUNITY: ✔️
  13.2.2       - PRO: ✔️, COMMUNITY: ✔️
  13.2.1       - PRO: ✔️, COMMUNITY: ✔️
  13.2.0       - PRO: ✔️, COMMUNITY: ✔️
  13.1.4       - PRO: ✔️, COMMUNITY: ✔️
  13.1.3       - PRO: ✔️, COMMUNITY: ✔️
  13.1.2       - PRO: ✔️, COMMUNITY: ✔️
  13.1.1       - PRO: ✔️, COMMUNITY: ✔️
  13.1.0       - PRO: ✔️, COMMUNITY: ✔️
  13.0.4       - PRO: ✔️, COMMUNITY: ✔️
  13.0.3       - PRO: ✔️, COMMUNITY: ✔️
  13.0.2       - PRO: ✔️, COMMUNITY: ✔️
  13.0.1       - PRO: ✔️, COMMUNITY: ✔️
  13.0.0       - PRO: ✔️, COMMUNITY: ✔️
  12.2.18      - PRO: ✔️, COMMUNITY: ✔️
  12.2.17      - PRO: ✔️, COMMUNITY: ✔️
  12.2.16      - PRO: ✔️, COMMUNITY: ✔️
  12.2.15      - PRO: ✔️, COMMUNITY: ✔️
  12.2.14      - PRO: ✔️, COMMUNITY: ✔️
  12.2.13      - PRO: ✔️, COMMUNITY: ✔️
  12.2.12      - PRO: ✔️, COMMUNITY: ✔️
  12.2.11      - PRO: ✔️, COMMUNITY: ✔️
  12.2.10      - PRO: ✔️, COMMUNITY: ✔️
  12.2.9       - PRO: ✔️, COMMUNITY: ✔️
  12.2.8       - PRO: ✔️, COMMUNITY: ✔️
  12.2.7       - PRO: ✔️, COMMUNITY: ✔️
  12.2.6       - PRO: ✔️, COMMUNITY: ✔️
  12.2.5       - PRO: ✔️, COMMUNITY: ✔️
  12.2.4       - PRO: ✔️, COMMUNITY: ✔️
  12.2.3       - PRO: ✔️, COMMUNITY: ✔️
  12.2.2       - PRO: ✔️, COMMUNITY: ✔️
  12.2.1       - PRO: ✔️, COMMUNITY: ✔️
  12.2.0       - PRO: ✔️, COMMUNITY: ✔️
  12.1.4       - PRO: ✔️, COMMUNITY: ✔️
  12.1.3       - PRO: ✔️, COMMUNITY: ✔️
  12.1.2       - PRO: ✔️, COMMUNITY: ✔️
  12.1.1       - PRO: ✔️, COMMUNITY: ✔️
  12.1.0       - PRO: ✔️, COMMUNITY: ✔️
  12.0.5       - PRO: ✔️, COMMUNITY: ✔️
  12.0.4       - PRO: ✔️, COMMUNITY: ✔️
  12.0.3       - PRO: ✔️, COMMUNITY: ✔️
  12.0.2       - PRO: ✔️, COMMUNITY: ✔️
  12.0.1       - PRO: ✔️, COMMUNITY: ✔️
  12.0.0       - PRO: ✔️, COMMUNITY: ✔️
  11.2.19      - PRO: ✔️, COMMUNITY: ✔️
  11.2.18      - PRO: ✔️, COMMUNITY: ✔️
  11.2.17      - PRO: ✔️, COMMUNITY: ✔️
  11.2.16      - PRO: ✔️, COMMUNITY: ✔️
  11.2.15      - PRO: ✔️, COMMUNITY: ✔️
  11.2.14      - PRO: ✔️, COMMUNITY: ✔️
  11.2.13      - PRO: ✔️, COMMUNITY: ✔️
  11.2.12      - PRO: ✔️, COMMUNITY: ✔️
  11.2.11      - PRO: ✔️, COMMUNITY: ✔️
  11.2.10      - PRO: ✔️, COMMUNITY: ✔️
  11.2.9       - PRO: ✔️, COMMUNITY: ✔️
  11.2.8       - PRO: ✔️, COMMUNITY: ✔️
  11.2.7       - PRO: ✔️, COMMUNITY: ✔️
  11.2.6       - PRO: ✔️, COMMUNITY: ✔️
  11.2.5       - PRO: ✔️, COMMUNITY: ✔️
  11.2.4       - PRO: ✔️, COMMUNITY: ✔️
  11.2.3       - PRO: ✔️, COMMUNITY: ✔️
  11.2.2       - PRO: ✔️, COMMUNITY: ✔️
  11.2.1       - PRO: ✔️, COMMUNITY: ✔️
  11.2.0       - PRO: ✔️, COMMUNITY: ✔️
  11.1.4       - PRO: ✔️, COMMUNITY: ✔️
  11.1.3       - PRO: ✔️, COMMUNITY: ✔️
  11.1.2       - PRO: ✔️, COMMUNITY: ✔️
  11.1.1       - PRO: ✔️, COMMUNITY: ✔️
  11.1.0       - PRO: ✔️, COMMUNITY: ✔️
  11.0.7       - PRO: ✔️, COMMUNITY: ✔️
  11.0.6       - PRO: ✔️, COMMUNITY: ✔️
  11.0.5       - PRO: ✔️, COMMUNITY: ✔️
  11.0.4       - PRO: ✔️, COMMUNITY: ✔️
  11.0.3       - PRO: ✔️, COMMUNITY: ✔️
  11.0.2       - PRO: ✔️, COMMUNITY: ✔️
  11.0.1       - PRO: ✔️, COMMUNITY: ✔️
  11.0.0       - PRO: ✔️, COMMUNITY: ✔️
  10.2.4       - PRO: ✔️, COMMUNITY: ✔️
  10.2.3       - PRO: ✔️, COMMUNITY: ✔️
  10.2.2       - PRO: ✔️, COMMUNITY: ✔️
  10.2.1       - PRO: ✔️, COMMUNITY: ✔️
  10.2.0       - PRO: ✔️, COMMUNITY: ✔️
  10.1.7       - PRO: ✔️, COMMUNITY: ✔️
  10.1.6       - PRO: ✔️, COMMUNITY: ✔️
  10.1.5       - PRO: ✔️, COMMUNITY: ✔️
  10.1.4       - PRO: ✔️, COMMUNITY: ✔️
  10.1.3       - PRO: ✔️, COMMUNITY: ✔️
  10.1.2       - PRO: ✔️, COMMUNITY: ✔️
  10.1.1       - PRO: ✔️, COMMUNITY: ✔️
  10.1.0       - PRO: ✔️, COMMUNITY: ✔️
  10.0.8       - PRO: ✔️, COMMUNITY: ✔️
  10.0.7       - PRO: ✔️, COMMUNITY: ✔️
  10.0.6       - PRO: ✔️, COMMUNITY: ✔️
  10.0.5       - PRO: ✔️, COMMUNITY: ✔️
  10.0.4       - PRO: ✔️, COMMUNITY: ✔️
  10.0.3       - PRO: ✔️, COMMUNITY: ✔️
  10.0.2       - PRO: ✔️, COMMUNITY: ✔️
  10.0.1       - PRO: ✔️, COMMUNITY: ✔️
  10.0.0       - PRO: ✔️, COMMUNITY: ✔️
  9.1.15       - PRO: ✔️, COMMUNITY: ✔️
  9.1.14       - PRO: ✔️, COMMUNITY: ✔️
  9.1.13       - PRO: ✔️, COMMUNITY: ✔️
  9.1.12       - PRO: ✔️, COMMUNITY: ✔️
  9.1.11       - PRO: ✔️, COMMUNITY: ✔️
  9.1.10       - PRO: ✔️, COMMUNITY: ✔️
  9.1.9        - PRO: ✔️, COMMUNITY: ✔️
  9.1.8        - PRO: ✔️, COMMUNITY: ✔️
  9.1.7        - PRO: ✔️, COMMUNITY: ✔️
  9.1.6        - PRO: ✔️, COMMUNITY: ✔️
  9.1.5        - PRO: ✔️, COMMUNITY: ✔️
  9.1.4        - PRO: ✔️, COMMUNITY: ✔️
  9.1.3        - PRO: ✔️, COMMUNITY: ✔️
  9.1.2        - PRO: ✔️, COMMUNITY: ✔️
  9.1.1        - PRO: ✔️, COMMUNITY: ✔️
  9.1.0        - PRO: ✔️, COMMUNITY: ✔️
  9.0.7        - PRO: ✔️, COMMUNITY: ✔️
  9.0.6        - PRO: ✔️, COMMUNITY: ✔️
  9.0.5        - PRO: ✔️, COMMUNITY: ✔️
  9.0.4        - PRO: ✔️, COMMUNITY: ✔️
  9.0.3        - PRO: ✔️, COMMUNITY: ✔️
  9.0.2        - PRO: ✔️, COMMUNITY: ✔️
  9.0.1        - PRO: ✔️, COMMUNITY: ✔️
  9.0.0        - PRO: ✔️, COMMUNITY: ✔️
  8.3.29       - PRO: ✔️, COMMUNITY: ✔️
  8.3.28       - PRO: ✔️, COMMUNITY: ✔️
  8.3.27       - PRO: ✔️, COMMUNITY: ✔️
  8.3.26       - PRO: ✔️, COMMUNITY: ✔️
  8.3.25       - PRO: ✔️, COMMUNITY: ✔️
  8.3.24       - PRO: ✔️, COMMUNITY: ✔️
  8.3.23       - PRO: ✔️, COMMUNITY: ✔️
  8.3.22       - PRO: ✔️, COMMUNITY: ✔️
  8.3.21       - PRO: ✔️, COMMUNITY: ✔️
  8.3.20       - PRO: ✔️, COMMUNITY: ✔️
  8.3.19       - PRO: ✔️, COMMUNITY: ✔️
  8.3.18       - PRO: ✔️, COMMUNITY: ✔️
  8.3.17       - PRO: ✔️, COMMUNITY: ✔️
  8.3.16       - PRO: ✔️, COMMUNITY: ✔️
  8.3.15       - PRO: ✔️, COMMUNITY: ✔️
  8.3.14       - PRO: ✔️, COMMUNITY: ✔️
  8.3.13       - PRO: ✔️, COMMUNITY: ✔️
  8.3.12       - PRO: ✔️, COMMUNITY: ✔️
  8.3.11       - PRO: ✔️, COMMUNITY: ✔️
  8.3.10       - PRO: ✔️, COMMUNITY: ✔️
  8.3.9        - PRO: ✔️, COMMUNITY: ✔️
  8.3.8        - PRO: ✔️, COMMUNITY: ✔️
  8.3.7        - PRO: ✔️, COMMUNITY: ✔️
  8.3.6        - PRO: ✔️, COMMUNITY: ✔️
  8.3.5        - PRO: ✔️, COMMUNITY: ✔️
  8.3.4        - PRO: ✔️, COMMUNITY: ✔️
  8.3.3        - PRO: ✔️, COMMUNITY: ✔️
  8.3.2        - PRO: ✔️, COMMUNITY: ✔️
  8.3.1        - PRO: ✔️, COMMUNITY: ✔️
  8.3.0        - PRO: ✔️, COMMUNITY: ✔️
  8.2.2        - PRO: ✔️, COMMUNITY: ✔️
  8.2.1        - PRO: ✔️, COMMUNITY: ✔️
  8.2.0        - PRO: ✔️, COMMUNITY: ✔️
  8.1.3        - PRO: ✔️, COMMUNITY: ✔️
  8.1.2        - PRO: ✔️, COMMUNITY: ✔️
  8.1.1        - PRO: ✔️, COMMUNITY: ✔️
  8.1.0        - PRO: ✔️, COMMUNITY: ✔️
  8.0.6        - PRO: ✔️, COMMUNITY: ✔️
  8.0.5        - PRO: ✔️, COMMUNITY: ✔️
  8.0.4        - PRO: ✔️, COMMUNITY: ✔️
  8.0.3        - PRO: ✔️, COMMUNITY: ✔️
  8.0.2        - PRO: ✔️, COMMUNITY: ✔️
  8.0.1        - PRO: ✔️, COMMUNITY: ✔️
  8.0.0        - PRO: ✔️, COMMUNITY: ✔️
  7.3.10       - PRO: ✔️, COMMUNITY: ✔️
  7.3.9        - PRO: ✔️, COMMUNITY: ✔️
  7.3.8        - PRO: ✔️, COMMUNITY: ✔️
  7.3.7        - PRO: ✔️, COMMUNITY: ✔️
  7.3.6        - PRO: ✔️, COMMUNITY: ✔️
  7.3.5        - PRO: ✔️, COMMUNITY: ✔️
  7.3.4        - PRO: ✔️, COMMUNITY: ✔️
  7.3.3        - PRO: ✔️, COMMUNITY: ✔️
  7.3.2        - PRO: ✔️, COMMUNITY: ✔️
  7.3.1        - PRO: ✔️, COMMUNITY: ✔️
  7.3.0        - PRO: ✔️, COMMUNITY: ✔️
  7.2.4        - PRO: ✔️, COMMUNITY: ✔️
  7.2.3        - PRO: ✔️, COMMUNITY: ✔️
  7.2.2        - PRO: ✔️, COMMUNITY: ✔️
  7.2.1        - PRO: ✔️, COMMUNITY: ✔️
  7.2.0        - PRO: ✔️, COMMUNITY: ✔️
  7.1.4        - PRO: ✔️, COMMUNITY: ✔️
  7.1.3        - PRO: ✔️, COMMUNITY: ✔️
  7.1.2        - PRO: ✔️, COMMUNITY: ✔️
  7.1.1        - PRO: ✔️, COMMUNITY: ✔️
  7.1.0        - PRO: ✔️, COMMUNITY: ✔️
  7.0.7        - PRO: ✔️, COMMUNITY: ✔️
  7.0.6        - PRO: ✔️, COMMUNITY: ✔️
  7.0.5        - PRO: ✔️, COMMUNITY: ✔️
  7.0.4        - PRO: ✔️, COMMUNITY: ✔️
  7.0.3        - PRO: ✔️, COMMUNITY: ✔️
  7.0.2        - PRO: ✔️, COMMUNITY: ✔️
  7.0.1        - PRO: ✔️, COMMUNITY: ✔️
  7.0.0        - PRO: ✔️, COMMUNITY: ✔️
  6.2.9        - PRO: ✔️, COMMUNITY: ✔️
  6.2.8        - PRO: ✔️, COMMUNITY: ✔️
  6.2.7        - PRO: ✔️, COMMUNITY: ✔️
  6.2.6        - PRO: ✔️, COMMUNITY: ✔️
  6.2.5        - PRO: ✔️, COMMUNITY: ✔️
  6.2.4        - PRO: ✔️, COMMUNITY: ✔️
  6.2.3        - PRO: ✔️, COMMUNITY: ✔️
  6.2.2        - PRO: ✔️, COMMUNITY: ✔️
  6.2.1        - PRO: ✔️, COMMUNITY: ✔️
  6.2.0        - PRO: ✔️, COMMUNITY: ✔️
  6.1.5        - PRO: ✔️, COMMUNITY: ✔️
  6.1.4        - PRO: ✔️, COMMUNITY: ✔️
  6.1.3        - PRO: ✔️, COMMUNITY: ✔️
  6.1.2        - PRO: ✔️, COMMUNITY: ✔️
  6.1.1        - PRO: ✔️, COMMUNITY: ✔️
  6.1.0        - PRO: ✔️, COMMUNITY: ✔️
  6.0.8        - PRO: ✔️, COMMUNITY: ✔️
  6.0.7        - PRO: ✔️, COMMUNITY: ✔️
  6.0.6        - PRO: ✔️, COMMUNITY: ✔️
  6.0.5        - PRO: ✔️, COMMUNITY: ✔️
  6.0.4        - PRO: ✔️, COMMUNITY: ✔️
  6.0.3        - PRO: ✔️, COMMUNITY: ✔️
  6.0.2        - PRO: ✔️, COMMUNITY: ✔️
  6.0.1        - PRO: ✔️, COMMUNITY: ✔️
  6.0.0        - PRO: ✔️, COMMUNITY: ✔️
  1.7.4        - PRO: ✔️, COMMUNITY: ✔️
  1.7.3        - PRO: ✔️, COMMUNITY: ✔️
  1.7.2        - PRO: ✔️, COMMUNITY: ✔️
  1.7.1        - PRO: ✔️, COMMUNITY: ✔️
  1.7.0        - PRO: ✔️, COMMUNITY: ✔️
  1.6.8        - PRO: ✔️, COMMUNITY: ✔️
  1.6.7        - PRO: ✔️, COMMUNITY: ✔️
  1.6.6        - PRO: ✔️, COMMUNITY: ✔️
  1.6.5        - PRO: ✔️, COMMUNITY: ✔️
  1.6.4        - PRO: ✔️, COMMUNITY: ✔️
  1.6.3        - PRO: ✔️, COMMUNITY: ✔️
  1.6.2        - PRO: ✔️, COMMUNITY: ✔️
  1.6.1        - PRO: ✔️, COMMUNITY: ✔️
  1.6.0        - PRO: ✔️, COMMUNITY: ✔️
  1.5.6        - PRO: ✔️, COMMUNITY: ✔️
  1.5.5        - PRO: ✔️, COMMUNITY: ✔️
  1.5.4        - PRO: ✔️, COMMUNITY: ✔️
  1.5.3        - PRO: ✔️, COMMUNITY: ✔️
  1.5.2        - PRO: ✔️, COMMUNITY: ✔️
  1.5.1        - PRO: ✔️, COMMUNITY: ✔️
  1.5.0        - PRO: ✔️, COMMUNITY: ✔️
  1.4.10       - PRO: ✔️, COMMUNITY: ✔️
  1.4.9        - PRO: ✔️, COMMUNITY: ✔️
  1.4.8        - PRO: ✔️, COMMUNITY: ✔️
  1.4.7        - PRO: ✔️, COMMUNITY: ✔️
  1.4.6        - PRO: ✔️, COMMUNITY: ✔️
  1.4.5        - PRO: ✔️, COMMUNITY: ✔️
  1.4.4        - PRO: ✔️, COMMUNITY: ✔️
  1.4.3        - PRO: ✔️, COMMUNITY: ✔️
  1.4.2        - PRO: ✔️, COMMUNITY: ✔️
  1.4.1        - PRO: ✔️, COMMUNITY: ✔️
  1.4.0        - PRO: ✔️, COMMUNITY: ✔️
  1.3.2        - PRO: ✔️, COMMUNITY: ✔️
  1.3.1        - PRO: ✔️, COMMUNITY: ✔️
  1.3.0        - PRO: ✔️, COMMUNITY: ✔️
  1.2.8        - PRO: ✔️, COMMUNITY: ✔️
  1.2.7        - PRO: ✔️, COMMUNITY: ✔️
  1.2.6        - PRO: ✔️, COMMUNITY: ✔️
  1.2.5        - PRO: ✔️, COMMUNITY: ✔️
  1.2.4        - PRO: ✔️, COMMUNITY: ✔️
  1.2.3        - PRO: ✔️, COMMUNITY: ✔️
  1.2.2        - PRO: ✔️, COMMUNITY: ✔️
  1.2.1        - PRO: ✔️, COMMUNITY: ✔️
  1.2.0        - PRO: ✔️, COMMUNITY: ✔️
  1.1.3        - PRO: ✔️, COMMUNITY: ✔️
  1.1.2        - PRO: ✔️, COMMUNITY: ✔️
  1.1.1        - PRO: ✔️, COMMUNITY: ✔️
  1.1.0        - PRO: ✔️, COMMUNITY: ✔️
  1.0.6        - PRO: ✔️, COMMUNITY: ✔️
  1.0.5        - PRO: ✔️, COMMUNITY: ✔️
  1.0.4        - PRO: ✔️, COMMUNITY: ✔️
  1.0.3        - PRO: ✔️, COMMUNITY: ✔️
  1.0.2        - PRO: ✔️, COMMUNITY: ✔️
  1.0.1        - PRO: ✔️, COMMUNITY: ✔️
  1.0.0        - PRO: ✔️, COMMUNITY: ✔️

@builder.io/qwik
----------------
  1.11.0       - PRO: ✔️, COMMUNITY: ✗ (ETA: around 2025-01-25)
  1.10.0       - PRO: ✔️, COMMUNITY: ✗ (ETA: around 2025-01-11)
  1.9.0        - PRO: ✔️, COMMUNITY: ✗ (ETA: around 2024-11-17)
